trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
552,False,"{'a': 0.002, 'e': 0.33220600682924445}",25,12,20.354313922364515,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.002, 'e': 0.3315422587848797}",20,0,-28.687930702651023,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
554,False,"{'a': 0.002, 'e': 0.33087983690999206}",30,0,-126.16339586347527,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
555,False,"{'a': 0.002, 'e': 0.3302187385548933}",20,0,-99.46539592809346,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
556,False,"{'a': 0.002, 'e': 0.32955896107518906}",25,0,20.132539226742978,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
557,False,"{'a': 0.002, 'e': 0.3289005018317685}",20,0,-31.34257521292835,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
558,False,"{'a': 0.002, 'e': 0.32824335819079375}",30,8,-65.38495661216066,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
559,False,"{'a': 0.002, 'e': 0.3275875275236895}",25,16,7.22551296373329,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.002, 'e': 0.3269330072071321}",30,0,-60.80396558271161,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",1
561,False,"{'a': 0.002, 'e': 0.32627979462303947}",20,7,-66.04085484355699,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
562,False,"{'a': 0.002, 'e': 0.32562788715856034}",30,10,1.725342454505441,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
563,False,"{'a': 0.002, 'e': 0.324977282206064}",20,12,4.834836939317974,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
564,False,"{'a': 0.002, 'e': 0.3243279771631298}",25,14,17.68803425629271,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.002, 'e': 0.3236799694325367}",25,1,12.648654384851863,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
566,False,"{'a': 0.002, 'e': 0.3230332564222529}",25,11,11.785818421555767,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
567,False,"{'a': 0.002, 'e': 0.3223878355454255}",20,1,-35.54270439560068,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
568,False,"{'a': 0.002, 'e': 0.32174370422037013}",20,11,-19.911465836710512,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
569,False,"{'a': 0.002, 'e': 0.32110085987056064}",20,5,-3.110051081974354,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
570,False,"{'a': 0.002, 'e': 0.32045929992461875}",30,13,29.06623534217005,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.002, 'e': 0.31981902181630384}",20,0,-27.683661530876172,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
572,False,"{'a': 0.002, 'e': 0.31918002298450265}",20,0,-36.54946962056162,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
573,False,"{'a': 0.002, 'e': 0.31854230087321894}",20,16,6.516995168380152,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.002, 'e': 0.3179058529315635}",25,3,-7.361399164719755,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
575,False,"{'a': 0.002, 'e': 0.3172706766137436}",20,7,2.1869742293138197,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
576,False,"{'a': 0.002, 'e': 0.31663676937905316}",20,0,-25.590467685435456,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
577,False,"{'a': 0.002, 'e': 0.31600412869186245}",25,0,0.9946008118475826,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
578,False,"{'a': 0.002, 'e': 0.31537275202160797}",20,0,20.147807723626908,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
579,False,"{'a': 0.002, 'e': 0.3147426368427819}",30,0,-29.0597540428644,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
580,False,"{'a': 0.002, 'e': 0.31411378063492296}",20,6,18.113678231845277,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
581,False,"{'a': 0.002, 'e': 0.3134861808826053}",20,0,34.852430258786136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
582,False,"{'a': 0.002, 'e': 0.3128598350754292}",20,13,10.993347741657598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.002, 'e': 0.31223474070801055}",25,8,6.151810278326649,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
584,False,"{'a': 0.002, 'e': 0.31161089527997105}",30,6,-33.047385806465535,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
